age,balance,Cluster,Recommendation
53,2581,0,Tabungan Jangka Panjang
27,1134,0,Tabungan Jangka Panjang
55,309,0,Tabungan Jangka Panjang
33,6807,2,Investasi Reksa Dana
87,6746,2,Investasi Reksa Dana
57,375,0,Tabungan Jangka Panjang
33,658,0,Tabungan Jangka Panjang
51,371,0,Tabungan Jangka Panjang
76,2693,0,Tabungan Jangka Panjang
19,329,0,Tabungan Jangka Panjang
33,79,0,Tabungan Jangka Panjang
55,0,0,Tabungan Jangka Panjang
31,6281,2,Investasi Reksa Dana
92,775,0,Tabungan Jangka Panjang
30,411,0,Tabungan Jangka Panjang
68,2144,0,Tabungan Jangka Panjang
41,431,0,Tabungan Jangka Panjang
29,123,0,Tabungan Jangka Panjang
27,3792,2,Investasi Reksa Dana
78,4807,2,Investasi Reksa Dana
82,8603,2,Investasi Reksa Dana
29,2178,0,Tabungan Jangka Panjang
76,2991,0,Tabungan Jangka Panjang
38,4174,2,Investasi Reksa Dana
60,10925,2,Investasi Reksa Dana
33,2411,0,Tabungan Jangka Panjang
43,14646,2,Investasi Reksa Dana
61,86,0,Tabungan Jangka Panjang
43,11115,2,Investasi Reksa Dana
57,6900,2,Investasi Reksa Dana
33,5878,2,Investasi Reksa Dana
77,1780,0,Tabungan Jangka Panjang
35,183,0,Tabungan Jangka Panjang
59,3648,2,Investasi Reksa Dana
76,4112,2,Investasi Reksa Dana
73,542,0,Tabungan Jangka Panjang
81,243,0,Tabungan Jangka Panjang
41,942,0,Tabungan Jangka Panjang
57,254,0,Tabungan Jangka Panjang
28,0,0,Tabungan Jangka Panjang
38,0,0,Tabungan Jangka Panjang
52,992,0,Tabungan Jangka Panjang
22,23,0,Tabungan Jangka Panjang
53,732,0,Tabungan Jangka Panjang
60,4629,2,Investasi Reksa Dana
56,0,0,Tabungan Jangka Panjang
38,70,0,Tabungan Jangka Panjang
44,5063,2,Investasi Reksa Dana
69,4572,2,Investasi Reksa Dana
36,129,0,Tabungan Jangka Panjang
75,4984,2,Investasi Reksa Dana
65,1004,0,Tabungan Jangka Panjang
64,4787,2,Investasi Reksa Dana
30,914,0,Tabungan Jangka Panjang
57,2326,0,Tabungan Jangka Panjang
31,81,0,Tabungan Jangka Panjang
36,203,0,Tabungan Jangka Panjang
64,3951,2,Investasi Reksa Dana
54,240,0,Tabungan Jangka Panjang
26,338,0,Tabungan Jangka Panjang
51,0,0,Tabungan Jangka Panjang
72,0,0,Tabungan Jangka Panjang
30,944,0,Tabungan Jangka Panjang
60,5,0,Tabungan Jangka Panjang
30,697,0,Tabungan Jangka Panjang
66,1948,0,Tabungan Jangka Panjang
50,3654,2,Investasi Reksa Dana
47,551,0,Tabungan Jangka Panjang
80,997,0,Tabungan Jangka Panjang
61,477,0,Tabungan Jangka Panjang
47,3663,2,Investasi Reksa Dana
30,853,0,Tabungan Jangka Panjang
21,8278,2,Investasi Reksa Dana
62,7458,2,Investasi Reksa Dana
26,44,0,Tabungan Jangka Panjang
36,1193,0,Tabungan Jangka Panjang
87,230,0,Tabungan Jangka Panjang
61,8729,2,Investasi Reksa Dana
70,2384,0,Tabungan Jangka Panjang
60,3401,0,Tabungan Jangka Panjang
41,881,0,Tabungan Jangka Panjang
22,1522,0,Tabungan Jangka Panjang
60,4243,2,Investasi Reksa Dana
54,473,0,Tabungan Jangka Panjang
35,5462,2,Investasi Reksa Dana
59,4412,2,Investasi Reksa Dana
29,10332,2,Investasi Reksa Dana
48,0,0,Tabungan Jangka Panjang
37,238,0,Tabungan Jangka Panjang
36,62,0,Tabungan Jangka Panjang
52,2398,0,Tabungan Jangka Panjang
67,704,0,Tabungan Jangka Panjang
36,506,0,Tabungan Jangka Panjang
64,2352,0,Tabungan Jangka Panjang
29,938,0,Tabungan Jangka Panjang
27,1720,0,Tabungan Jangka Panjang
76,1492,0,Tabungan Jangka Panjang
34,1778,0,Tabungan Jangka Panjang
54,0,0,Tabungan Jangka Panjang
67,942,0,Tabungan Jangka Panjang
24,556,0,Tabungan Jangka Panjang
53,10541,2,Investasi Reksa Dana
33,1536,0,Tabungan Jangka Panjang
24,235,0,Tabungan Jangka Panjang
32,935,0,Tabungan Jangka Panjang
60,10861,2,Investasi Reksa Dana
64,2331,0,Tabungan Jangka Panjang
35,1228,0,Tabungan Jangka Panjang
24,125,0,Tabungan Jangka Panjang
42,2816,0,Tabungan Jangka Panjang
40,0,0,Tabungan Jangka Panjang
33,22867,1,Kredit Usaha Mikro
71,1311,0,Tabungan Jangka Panjang
52,94,0,Tabungan Jangka Panjang
47,0,0,Tabungan Jangka Panjang
49,3371,0,Tabungan Jangka Panjang
26,943,0,Tabungan Jangka Panjang
40,9366,2,Investasi Reksa Dana
32,6746,2,Investasi Reksa Dana
33,1076,0,Tabungan Jangka Panjang
35,0,0,Tabungan Jangka Panjang
53,1624,0,Tabungan Jangka Panjang
20,801,0,Tabungan Jangka Panjang
44,1070,0,Tabungan Jangka Panjang
21,123,0,Tabungan Jangka Panjang
36,3623,2,Investasi Reksa Dana
31,533,0,Tabungan Jangka Panjang
42,994,0,Tabungan Jangka Panjang
33,386,0,Tabungan Jangka Panjang
29,1026,0,Tabungan Jangka Panjang
30,2424,0,Tabungan Jangka Panjang
32,1331,0,Tabungan Jangka Panjang
54,2206,0,Tabungan Jangka Panjang
82,0,0,Tabungan Jangka Panjang
47,4693,2,Investasi Reksa Dana
48,1230,0,Tabungan Jangka Panjang
77,3417,0,Tabungan Jangka Panjang
38,1767,0,Tabungan Jangka Panjang
27,5291,2,Investasi Reksa Dana
43,3403,0,Tabungan Jangka Panjang
33,133,0,Tabungan Jangka Panjang
27,4745,2,Investasi Reksa Dana
76,3324,0,Tabungan Jangka Panjang
81,5220,2,Investasi Reksa Dana
71,2600,0,Tabungan Jangka Panjang
39,260,0,Tabungan Jangka Panjang
18,608,0,Tabungan Jangka Panjang
58,462,0,Tabungan Jangka Panjang
44,14,0,Tabungan Jangka Panjang
67,1146,0,Tabungan Jangka Panjang
31,181,0,Tabungan Jangka Panjang
61,3114,0,Tabungan Jangka Panjang
36,376,0,Tabungan Jangka Panjang
56,9367,2,Investasi Reksa Dana
24,382,0,Tabungan Jangka Panjang
33,920,0,Tabungan Jangka Panjang
34,129,0,Tabungan Jangka Panjang
58,169,0,Tabungan Jangka Panjang
64,679,0,Tabungan Jangka Panjang
27,535,0,Tabungan Jangka Panjang
63,3115,0,Tabungan Jangka Panjang
23,1234,0,Tabungan Jangka Panjang
37,197,0,Tabungan Jangka Panjang
43,3186,0,Tabungan Jangka Panjang
35,3160,0,Tabungan Jangka Panjang
33,195,0,Tabungan Jangka Panjang
75,6027,2,Investasi Reksa Dana
40,764,0,Tabungan Jangka Panjang
52,583,0,Tabungan Jangka Panjang
55,0,0,Tabungan Jangka Panjang
71,5715,2,Investasi Reksa Dana
78,1204,0,Tabungan Jangka Panjang
35,4922,2,Investasi Reksa Dana
52,234,0,Tabungan Jangka Panjang
31,9421,2,Investasi Reksa Dana
31,4198,2,Investasi Reksa Dana
38,3576,2,Investasi Reksa Dana
28,1925,0,Tabungan Jangka Panjang
72,1129,0,Tabungan Jangka Panjang
29,265,0,Tabungan Jangka Panjang
46,38,0,Tabungan Jangka Panjang
53,1982,0,Tabungan Jangka Panjang
58,3399,0,Tabungan Jangka Panjang
22,691,0,Tabungan Jangka Panjang
28,330,0,Tabungan Jangka Panjang
31,318,0,Tabungan Jangka Panjang
26,644,0,Tabungan Jangka Panjang
60,4,0,Tabungan Jangka Panjang
29,1165,0,Tabungan Jangka Panjang
36,4708,2,Investasi Reksa Dana
68,2820,0,Tabungan Jangka Panjang
48,1147,0,Tabungan Jangka Panjang
53,980,0,Tabungan Jangka Panjang
39,2983,0,Tabungan Jangka Panjang
28,339,0,Tabungan Jangka Panjang
72,1940,0,Tabungan Jangka Panjang
29,1445,0,Tabungan Jangka Panjang
26,294,0,Tabungan Jangka Panjang
49,5887,2,Investasi Reksa Dana
43,11891,2,Investasi Reksa Dana
28,78,0,Tabungan Jangka Panjang
44,733,0,Tabungan Jangka Panjang
73,5028,2,Investasi Reksa Dana
39,481,0,Tabungan Jangka Panjang
29,314,0,Tabungan Jangka Panjang
31,684,0,Tabungan Jangka Panjang
30,1681,0,Tabungan Jangka Panjang
50,10250,2,Investasi Reksa Dana
42,254,0,Tabungan Jangka Panjang
37,0,0,Tabungan Jangka Panjang
49,307,0,Tabungan Jangka Panjang
59,957,0,Tabungan Jangka Panjang
80,155,0,Tabungan Jangka Panjang
86,614,0,Tabungan Jangka Panjang
69,426,0,Tabungan Jangka Panjang
79,8304,2,Investasi Reksa Dana
36,4721,2,Investasi Reksa Dana
49,395,0,Tabungan Jangka Panjang
69,3588,2,Investasi Reksa Dana
66,2540,0,Tabungan Jangka Panjang
32,883,0,Tabungan Jangka Panjang
47,4402,2,Investasi Reksa Dana
58,256,0,Tabungan Jangka Panjang
64,43,0,Tabungan Jangka Panjang
72,3856,2,Investasi Reksa Dana
79,3025,0,Tabungan Jangka Panjang
30,2326,0,Tabungan Jangka Panjang
36,925,0,Tabungan Jangka Panjang
53,1961,0,Tabungan Jangka Panjang
34,2037,0,Tabungan Jangka Panjang
29,459,0,Tabungan Jangka Panjang
29,572,0,Tabungan Jangka Panjang
81,452,0,Tabungan Jangka Panjang
57,5313,2,Investasi Reksa Dana
72,1533,0,Tabungan Jangka Panjang
34,1337,0,Tabungan Jangka Panjang
57,2986,0,Tabungan Jangka Panjang
66,1230,0,Tabungan Jangka Panjang
27,538,0,Tabungan Jangka Panjang
50,5108,2,Investasi Reksa Dana
75,1341,0,Tabungan Jangka Panjang
50,320,0,Tabungan Jangka Panjang
32,131,0,Tabungan Jangka Panjang
59,2074,0,Tabungan Jangka Panjang
68,1443,0,Tabungan Jangka Panjang
31,3338,0,Tabungan Jangka Panjang
64,661,0,Tabungan Jangka Panjang
30,7105,2,Investasi Reksa Dana
60,3735,2,Investasi Reksa Dana
35,538,0,Tabungan Jangka Panjang
72,4657,2,Investasi Reksa Dana
30,5,0,Tabungan Jangka Panjang
52,230,0,Tabungan Jangka Panjang
33,1808,0,Tabungan Jangka Panjang
84,81204,1,Kredit Usaha Mikro
43,3518,2,Investasi Reksa Dana
39,25,0,Tabungan Jangka Panjang
25,2551,0,Tabungan Jangka Panjang
38,11303,2,Investasi Reksa Dana
44,2724,0,Tabungan Jangka Panjang
20,755,0,Tabungan Jangka Panjang
32,718,0,Tabungan Jangka Panjang
23,870,0,Tabungan Jangka Panjang
35,978,0,Tabungan Jangka Panjang
61,544,0,Tabungan Jangka Panjang
46,461,0,Tabungan Jangka Panjang
70,2795,0,Tabungan Jangka Panjang
25,139,0,Tabungan Jangka Panjang
57,1044,0,Tabungan Jangka Panjang
55,1633,0,Tabungan Jangka Panjang
33,6513,2,Investasi Reksa Dana
73,1388,0,Tabungan Jangka Panjang
34,15,0,Tabungan Jangka Panjang
31,2544,0,Tabungan Jangka Panjang
25,2007,0,Tabungan Jangka Panjang
30,2166,0,Tabungan Jangka Panjang
28,4579,2,Investasi Reksa Dana
21,2488,0,Tabungan Jangka Panjang
87,2190,0,Tabungan Jangka Panjang
22,254,0,Tabungan Jangka Panjang
28,1579,0,Tabungan Jangka Panjang
31,330,0,Tabungan Jangka Panjang
60,938,0,Tabungan Jangka Panjang
41,5372,2,Investasi Reksa Dana
24,3176,0,Tabungan Jangka Panjang
54,496,0,Tabungan Jangka Panjang
35,0,0,Tabungan Jangka Panjang
70,482,0,Tabungan Jangka Panjang
62,180,0,Tabungan Jangka Panjang
59,4198,2,Investasi Reksa Dana
48,817,0,Tabungan Jangka Panjang
45,5021,2,Investasi Reksa Dana
36,991,0,Tabungan Jangka Panjang
33,133,0,Tabungan Jangka Panjang
32,366,0,Tabungan Jangka Panjang
60,979,0,Tabungan Jangka Panjang
39,2939,0,Tabungan Jangka Panjang
37,4803,2,Investasi Reksa Dana
85,1255,0,Tabungan Jangka Panjang
79,8556,2,Investasi Reksa Dana
64,588,0,Tabungan Jangka Panjang
42,994,0,Tabungan Jangka Panjang
47,820,0,Tabungan Jangka Panjang
66,203,0,Tabungan Jangka Panjang
61,86,0,Tabungan Jangka Panjang
27,2855,0,Tabungan Jangka Panjang
63,474,0,Tabungan Jangka Panjang
36,203,0,Tabungan Jangka Panjang
38,7005,2,Investasi Reksa Dana
92,775,0,Tabungan Jangka Panjang
77,4112,2,Investasi Reksa Dana
30,255,0,Tabungan Jangka Panjang
81,243,0,Tabungan Jangka Panjang
42,942,0,Tabungan Jangka Panjang
48,1180,0,Tabungan Jangka Panjang
52,992,0,Tabungan Jangka Panjang
38,70,0,Tabungan Jangka Panjang
61,4629,2,Investasi Reksa Dana
20,829,0,Tabungan Jangka Panjang
39,0,0,Tabungan Jangka Panjang
44,2776,0,Tabungan Jangka Panjang
73,279,0,Tabungan Jangka Panjang
36,129,0,Tabungan Jangka Panjang
48,157,0,Tabungan Jangka Panjang
52,659,0,Tabungan Jangka Panjang
30,2493,0,Tabungan Jangka Panjang
36,3949,2,Investasi Reksa Dana
80,997,0,Tabungan Jangka Panjang
33,1699,0,Tabungan Jangka Panjang
56,1181,0,Tabungan Jangka Panjang
54,0,0,Tabungan Jangka Panjang
34,0,0,Tabungan Jangka Panjang
66,1948,0,Tabungan Jangka Panjang
52,306,0,Tabungan Jangka Panjang
60,18967,1,Kredit Usaha Mikro
28,261,0,Tabungan Jangka Panjang
56,694,0,Tabungan Jangka Panjang
36,202,0,Tabungan Jangka Panjang
45,4831,2,Investasi Reksa Dana
60,264,0,Tabungan Jangka Panjang
33,278,0,Tabungan Jangka Panjang
77,7802,2,Investasi Reksa Dana
66,3629,2,Investasi Reksa Dana
45,547,0,Tabungan Jangka Panjang
30,4468,2,Investasi Reksa Dana
56,1989,0,Tabungan Jangka Panjang
64,2645,0,Tabungan Jangka Panjang
30,4060,2,Investasi Reksa Dana
33,303,0,Tabungan Jangka Panjang
72,2600,0,Tabungan Jangka Panjang
44,1818,0,Tabungan Jangka Panjang
37,728,0,Tabungan Jangka Panjang
52,955,0,Tabungan Jangka Panjang
37,265,0,Tabungan Jangka Panjang
34,123,0,Tabungan Jangka Panjang
78,4807,2,Investasi Reksa Dana
45,205,0,Tabungan Jangka Panjang
68,2812,0,Tabungan Jangka Panjang
53,6571,2,Investasi Reksa Dana
39,2758,0,Tabungan Jangka Panjang
55,2037,0,Tabungan Jangka Panjang
32,0,0,Tabungan Jangka Panjang
76,2223,0,Tabungan Jangka Panjang
35,1085,0,Tabungan Jangka Panjang
55,602,0,Tabungan Jangka Panjang
41,1646,0,Tabungan Jangka Panjang
35,415,0,Tabungan Jangka Panjang
80,2354,0,Tabungan Jangka Panjang
38,318,0,Tabungan Jangka Panjang
48,1730,0,Tabungan Jangka Panjang
25,448,0,Tabungan Jangka Panjang
36,994,0,Tabungan Jangka Panjang
29,19,0,Tabungan Jangka Panjang
58,1625,0,Tabungan Jangka Panjang
46,1144,0,Tabungan Jangka Panjang
23,897,0,Tabungan Jangka Panjang
67,704,0,Tabungan Jangka Panjang
30,1996,0,Tabungan Jangka Panjang
22,216,0,Tabungan Jangka Panjang
45,1206,0,Tabungan Jangka Panjang
40,1855,0,Tabungan Jangka Panjang
35,62,0,Tabungan Jangka Panjang
33,1536,0,Tabungan Jangka Panjang
60,824,0,Tabungan Jangka Panjang
24,235,0,Tabungan Jangka Panjang
18,108,0,Tabungan Jangka Panjang
65,2331,0,Tabungan Jangka Panjang
27,390,0,Tabungan Jangka Panjang
35,-32,0,Tabungan Jangka Panjang
39,172,0,Tabungan Jangka Panjang
53,10541,2,Investasi Reksa Dana
23,480,0,Tabungan Jangka Panjang
34,2374,0,Tabungan Jangka Panjang
36,479,0,Tabungan Jangka Panjang
52,94,0,Tabungan Jangka Panjang
36,417,0,Tabungan Jangka Panjang
61,2557,0,Tabungan Jangka Panjang
58,589,0,Tabungan Jangka Panjang
48,201,0,Tabungan Jangka Panjang
34,2885,0,Tabungan Jangka Panjang
58,2155,0,Tabungan Jangka Panjang
39,902,0,Tabungan Jangka Panjang
44,1791,0,Tabungan Jangka Panjang
54,2206,0,Tabungan Jangka Panjang
27,5291,2,Investasi Reksa Dana
77,638,0,Tabungan Jangka Panjang
30,4448,2,Investasi Reksa Dana
61,5267,2,Investasi Reksa Dana
76,3324,0,Tabungan Jangka Panjang
28,61,0,Tabungan Jangka Panjang
35,0,0,Tabungan Jangka Panjang
59,116,0,Tabungan Jangka Panjang
42,413,0,Tabungan Jangka Panjang
35,353,0,Tabungan Jangka Panjang
71,1712,0,Tabungan Jangka Panjang
60,523,0,Tabungan Jangka Panjang
34,1454,0,Tabungan Jangka Panjang
57,9367,2,Investasi Reksa Dana
75,291,0,Tabungan Jangka Panjang
64,846,0,Tabungan Jangka Panjang
36,341,0,Tabungan Jangka Panjang
29,113,0,Tabungan Jangka Panjang
34,13014,2,Investasi Reksa Dana
26,632,0,Tabungan Jangka Panjang
41,27696,1,Kredit Usaha Mikro
47,3715,2,Investasi Reksa Dana
52,4675,2,Investasi Reksa Dana
32,3271,0,Tabungan Jangka Panjang
21,123,0,Tabungan Jangka Panjang
54,10185,2,Investasi Reksa Dana
29,1026,0,Tabungan Jangka Panjang
32,905,0,Tabungan Jangka Panjang
38,775,0,Tabungan Jangka Panjang
48,926,0,Tabungan Jangka Panjang
46,349,0,Tabungan Jangka Panjang
32,484,0,Tabungan Jangka Panjang
49,1830,0,Tabungan Jangka Panjang
37,2987,0,Tabungan Jangka Panjang
37,197,0,Tabungan Jangka Panjang
23,431,0,Tabungan Jangka Panjang
58,169,0,Tabungan Jangka Panjang
45,226,0,Tabungan Jangka Panjang
30,2424,0,Tabungan Jangka Panjang
23,1234,0,Tabungan Jangka Panjang
34,271,0,Tabungan Jangka Panjang
27,-69,0,Tabungan Jangka Panjang
28,1562,0,Tabungan Jangka Panjang
61,52587,1,Kredit Usaha Mikro
27,535,0,Tabungan Jangka Panjang
34,2159,0,Tabungan Jangka Panjang
52,195,0,Tabungan Jangka Panjang
28,154,0,Tabungan Jangka Panjang
35,681,0,Tabungan Jangka Panjang
66,2326,0,Tabungan Jangka Panjang
52,961,0,Tabungan Jangka Panjang
26,2532,0,Tabungan Jangka Panjang
38,455,0,Tabungan Jangka Panjang
59,2013,0,Tabungan Jangka Panjang
47,1568,0,Tabungan Jangka Panjang
22,1215,0,Tabungan Jangka Panjang
82,121,0,Tabungan Jangka Panjang
60,1,0,Tabungan Jangka Panjang
53,597,0,Tabungan Jangka Panjang
39,763,0,Tabungan Jangka Panjang
27,326,0,Tabungan Jangka Panjang
35,1380,0,Tabungan Jangka Panjang
80,0,0,Tabungan Jangka Panjang
47,368,0,Tabungan Jangka Panjang
72,438,0,Tabungan Jangka Panjang
45,483,0,Tabungan Jangka Panjang
37,7620,2,Investasi Reksa Dana
29,805,0,Tabungan Jangka Panjang
40,0,0,Tabungan Jangka Panjang
32,302,0,Tabungan Jangka Panjang
20,215,0,Tabungan Jangka Panjang
48,5473,2,Investasi Reksa Dana
60,106,0,Tabungan Jangka Panjang
70,2346,0,Tabungan Jangka Panjang
78,3219,0,Tabungan Jangka Panjang
52,2227,0,Tabungan Jangka Panjang
61,6610,2,Investasi Reksa Dana
27,195,0,Tabungan Jangka Panjang
63,973,0,Tabungan Jangka Panjang
59,7766,2,Investasi Reksa Dana
22,948,0,Tabungan Jangka Panjang
66,2149,0,Tabungan Jangka Panjang
74,1413,0,Tabungan Jangka Panjang
52,117,0,Tabungan Jangka Panjang
71,0,0,Tabungan Jangka Panjang
33,71,0,Tabungan Jangka Panjang
56,1938,0,Tabungan Jangka Panjang
30,5359,2,Investasi Reksa Dana
73,519,0,Tabungan Jangka Panjang
28,-46,0,Tabungan Jangka Panjang
27,1075,0,Tabungan Jangka Panjang
38,91,0,Tabungan Jangka Panjang
28,598,0,Tabungan Jangka Panjang
37,1027,0,Tabungan Jangka Panjang
47,235,0,Tabungan Jangka Panjang
60,2,0,Tabungan Jangka Panjang
42,4945,2,Investasi Reksa Dana
27,311,0,Tabungan Jangka Panjang
25,154,0,Tabungan Jangka Panjang
90,712,0,Tabungan Jangka Panjang
29,7585,2,Investasi Reksa Dana
29,2489,0,Tabungan Jangka Panjang
63,2896,0,Tabungan Jangka Panjang
32,354,0,Tabungan Jangka Panjang
32,2667,0,Tabungan Jangka Panjang
42,144,0,Tabungan Jangka Panjang
26,760,0,Tabungan Jangka Panjang
73,1050,0,Tabungan Jangka Panjang
26,5296,2,Investasi Reksa Dana
60,12980,2,Investasi Reksa Dana
25,509,0,Tabungan Jangka Panjang
64,1644,0,Tabungan Jangka Panjang
68,451,0,Tabungan Jangka Panjang
39,53,0,Tabungan Jangka Panjang
40,334,0,Tabungan Jangka Panjang
37,6771,2,Investasi Reksa Dana
36,52,0,Tabungan Jangka Panjang
33,2240,0,Tabungan Jangka Panjang
83,4761,2,Investasi Reksa Dana
31,1570,0,Tabungan Jangka Panjang
64,588,0,Tabungan Jangka Panjang
59,957,0,Tabungan Jangka Panjang
33,224,0,Tabungan Jangka Panjang
35,2161,0,Tabungan Jangka Panjang
69,426,0,Tabungan Jangka Panjang
31,147,0,Tabungan Jangka Panjang
73,508,0,Tabungan Jangka Panjang
35,294,0,Tabungan Jangka Panjang
28,1825,0,Tabungan Jangka Panjang
34,158,0,Tabungan Jangka Panjang
33,0,0,Tabungan Jangka Panjang
36,4721,2,Investasi Reksa Dana
44,282,0,Tabungan Jangka Panjang
19,108,0,Tabungan Jangka Panjang
28,187,0,Tabungan Jangka Panjang
51,3764,2,Investasi Reksa Dana
52,1416,0,Tabungan Jangka Panjang
61,2801,0,Tabungan Jangka Panjang
39,494,0,Tabungan Jangka Panjang
37,1978,0,Tabungan Jangka Panjang
80,155,0,Tabungan Jangka Panjang
61,4608,2,Investasi Reksa Dana
72,951,0,Tabungan Jangka Panjang
36,495,0,Tabungan Jangka Panjang
74,1843,0,Tabungan Jangka Panjang
35,262,0,Tabungan Jangka Panjang
82,0,0,Tabungan Jangka Panjang
71,3561,2,Investasi Reksa Dana
38,465,0,Tabungan Jangka Panjang
38,76,0,Tabungan Jangka Panjang
53,1796,0,Tabungan Jangka Panjang
29,874,0,Tabungan Jangka Panjang
64,2140,0,Tabungan Jangka Panjang
35,295,0,Tabungan Jangka Panjang
35,304,0,Tabungan Jangka Panjang
46,624,0,Tabungan Jangka Panjang
25,303,0,Tabungan Jangka Panjang
46,273,0,Tabungan Jangka Panjang
59,3342,0,Tabungan Jangka Panjang
35,1227,0,Tabungan Jangka Panjang
22,283,0,Tabungan Jangka Panjang
31,3384,0,Tabungan Jangka Panjang
43,2367,0,Tabungan Jangka Panjang
35,5958,2,Investasi Reksa Dana
60,3735,2,Investasi Reksa Dana
54,2693,0,Tabungan Jangka Panjang
29,655,0,Tabungan Jangka Panjang
30,1681,0,Tabungan Jangka Panjang
28,866,0,Tabungan Jangka Panjang
43,774,0,Tabungan Jangka Panjang
37,2678,0,Tabungan Jangka Panjang
62,3371,0,Tabungan Jangka Panjang
57,10583,2,Investasi Reksa Dana
33,4176,2,Investasi Reksa Dana
47,334,0,Tabungan Jangka Panjang
39,393,0,Tabungan Jangka Panjang
30,916,0,Tabungan Jangka Panjang
28,832,0,Tabungan Jangka Panjang
57,3287,0,Tabungan Jangka Panjang
23,488,0,Tabungan Jangka Panjang
56,1947,0,Tabungan Jangka Panjang
44,558,0,Tabungan Jangka Panjang
80,235,0,Tabungan Jangka Panjang
47,288,0,Tabungan Jangka Panjang
27,6036,2,Investasi Reksa Dana
26,3,0,Tabungan Jangka Panjang
50,0,0,Tabungan Jangka Panjang
84,81204,1,Kredit Usaha Mikro
86,5236,2,Investasi Reksa Dana
46,2466,0,Tabungan Jangka Panjang
45,1348,0,Tabungan Jangka Panjang
60,7929,2,Investasi Reksa Dana
47,70,0,Tabungan Jangka Panjang
53,459,0,Tabungan Jangka Panjang
54,2102,0,Tabungan Jangka Panjang
19,394,0,Tabungan Jangka Panjang
24,4126,2,Investasi Reksa Dana
39,224,0,Tabungan Jangka Panjang
53,9001,2,Investasi Reksa Dana
29,560,0,Tabungan Jangka Panjang
30,102,0,Tabungan Jangka Panjang
32,1088,0,Tabungan Jangka Panjang
33,562,0,Tabungan Jangka Panjang
33,718,0,Tabungan Jangka Panjang
57,230,0,Tabungan Jangka Panjang
27,-67,0,Tabungan Jangka Panjang
55,3848,2,Investasi Reksa Dana
36,579,0,Tabungan Jangka Panjang
26,1646,0,Tabungan Jangka Panjang
31,1229,0,Tabungan Jangka Panjang
25,129,0,Tabungan Jangka Panjang
49,197,0,Tabungan Jangka Panjang
30,3779,2,Investasi Reksa Dana
32,2016,0,Tabungan Jangka Panjang
36,436,0,Tabungan Jangka Panjang
38,413,0,Tabungan Jangka Panjang
45,116,0,Tabungan Jangka Panjang
36,62,0,Tabungan Jangka Panjang
23,107,0,Tabungan Jangka Panjang
38,497,0,Tabungan Jangka Panjang
44,2557,0,Tabungan Jangka Panjang
35,2646,0,Tabungan Jangka Panjang
75,3771,2,Investasi Reksa Dana
26,1066,0,Tabungan Jangka Panjang
59,1,0,Tabungan Jangka Panjang
30,232,0,Tabungan Jangka Panjang
36,1177,0,Tabungan Jangka Panjang
39,603,0,Tabungan Jangka Panjang
24,736,0,Tabungan Jangka Panjang
22,129,0,Tabungan Jangka Panjang
36,-115,0,Tabungan Jangka Panjang
22,104,0,Tabungan Jangka Panjang
34,589,0,Tabungan Jangka Panjang
22,3472,0,Tabungan Jangka Panjang
57,2845,0,Tabungan Jangka Panjang
30,7529,2,Investasi Reksa Dana
55,309,0,Tabungan Jangka Panjang
38,0,0,Tabungan Jangka Panjang
39,1672,0,Tabungan Jangka Panjang
38,1711,0,Tabungan Jangka Panjang
24,1295,0,Tabungan Jangka Panjang
30,2046,0,Tabungan Jangka Panjang
29,455,0,Tabungan Jangka Panjang
25,722,0,Tabungan Jangka Panjang
52,371,0,Tabungan Jangka Panjang
62,997,0,Tabungan Jangka Panjang
40,206,0,Tabungan Jangka Panjang
76,820,0,Tabungan Jangka Panjang
31,410,0,Tabungan Jangka Panjang
42,1216,0,Tabungan Jangka Panjang
43,11115,2,Investasi Reksa Dana
73,796,0,Tabungan Jangka Panjang
41,5037,2,Investasi Reksa Dana
77,1780,0,Tabungan Jangka Panjang
46,429,0,Tabungan Jangka Panjang
35,2779,0,Tabungan Jangka Panjang
26,222,0,Tabungan Jangka Panjang
45,0,0,Tabungan Jangka Panjang
29,1445,0,Tabungan Jangka Panjang
30,655,0,Tabungan Jangka Panjang
26,77,0,Tabungan Jangka Panjang
63,115,0,Tabungan Jangka Panjang
37,2722,0,Tabungan Jangka Panjang
26,1438,0,Tabungan Jangka Panjang
54,140,0,Tabungan Jangka Panjang
30,915,0,Tabungan Jangka Panjang
61,1058,0,Tabungan Jangka Panjang
69,0,0,Tabungan Jangka Panjang
76,4984,2,Investasi Reksa Dana
30,697,0,Tabungan Jangka Panjang
64,4787,2,Investasi Reksa Dana
55,962,0,Tabungan Jangka Panjang
55,1320,0,Tabungan Jangka Panjang
29,2955,0,Tabungan Jangka Panjang
41,0,0,Tabungan Jangka Panjang
63,12067,2,Investasi Reksa Dana
45,3006,0,Tabungan Jangka Panjang
32,388,0,Tabungan Jangka Panjang
41,0,0,Tabungan Jangka Panjang
37,565,0,Tabungan Jangka Panjang
19,329,0,Tabungan Jangka Panjang
61,4243,2,Investasi Reksa Dana
40,72,0,Tabungan Jangka Panjang
30,4328,2,Investasi Reksa Dana
54,395,0,Tabungan Jangka Panjang
49,0,0,Tabungan Jangka Panjang
45,205,0,Tabungan Jangka Panjang
48,1730,0,Tabungan Jangka Panjang
60,5,0,Tabungan Jangka Panjang
34,1965,0,Tabungan Jangka Panjang
29,19,0,Tabungan Jangka Panjang
